techniqueID,technique_name,tactic,score,is_subtechnique,atomic_link
T1543.003,Windows Service,persistence,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1543.003/T1543.003.md
T1543.003,Windows Service,privilege-escalation,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1543.003/T1543.003.md
T1547.001,Registry Run Keys / Startup Folder,persistence,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1547.001/T1547.001.md
T1547.001,Registry Run Keys / Startup Folder,privilege-escalation,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1547.001/T1547.001.md
T1547.009,Shortcut Modification,persistence,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1547.009/T1547.009.md
T1547.009,Shortcut Modification,privilege-escalation,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1547.009/T1547.009.md
T1553.002,Code Signing,defense-evasion,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1553.002/T1553.002.md
T1557.001,LLMNR/NBT-NS Poisoning and SMB Relay,credential-access,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1557.001/T1557.001.md
T1557.001,LLMNR/NBT-NS Poisoning and SMB Relay,collection,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1557.001/T1557.001.md
T1560,Archive Collected Data,collection,4,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1560/T1560.md
T1560.002,Archive via Library,collection,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1560.002/T1560.002.md
T1560.003,Archive via Custom Method,collection,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1560.003/T1560.003.md
T1561.001,Disk Content Wipe,impact,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1561.001/T1561.001.md
T1561.002,Disk Structure Wipe,impact,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1561.002/T1561.002.md
T1562.004,Disable or Modify System Firewall,defense-evasion,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1562.004/T1562.004.md
